from_id,from_label,to_id,to_label,via,verdict,comment
NIST-CSF-2.0:GV.SC-07,"The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship",ISO-27002-2022:A.5.20,供方协议中的安全条款,"NIST-800-53-R5:SA-4,NIST-800-53-R5:SR-3",partial,供方风险在关系存续期评估/盯防，更贴 A.5.22，而非协议安全条款。同域近邻，活动不同。
NIST-CSF-2.0:GV.SC-07,"The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship",ISO-27002-2022:A.5.22,供方服务盯防与改动,"NIST-800-53-R5:RA-9,NIST-800-53-R5:SA-9,NIST-800-53-R5:SR-6",correct,供方风险全程评估与盯防 ↔ 供方服务盯防与改动。经 SR-6 Supplier Assessments and Reviews，主题对齐。
NIST-CSF-2.0:GV.SC-07,"The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship",ISO-27002-2022:A.5.8,项目中的安全安排,"NIST-800-53-R5:SA-4,NIST-800-53-R5:SA-9",wrong,供方风险盯防≠项目中的安全安排。SA-4/SA-9 是采购/外部服务枢纽，不能当项目安全证据。
NIST-CSF-2.0:GV.SC-08,"Relevant suppliers and other third parties are included in incident planning, response, and recovery activities",ISO-27002-2022:A.5.22,供方服务盯防与改动,NIST-800-53-R5:SA-9,wrong,把供方纳入事件预案/响应/恢复≠供方服务盯防。仅共享 SA-9，活动不同。
NIST-CSF-2.0:GV.SC-09,"Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle",ISO-27002-2022:A.5.2,信息安全角色与职责,NIST-800-53-R5:SA-9,wrong,供应链安全实践纳入 ERM≠信息安全角色与职责。SA-9 过宽，A.5.2 扇入过大。
NIST-CSF-2.0:ID.AM-02,"Inventories of software, services, and systems managed by the organization are maintained",ISO-27002-2022:A.5.4,管理层安全义务,NIST-800-53-R5:SA-9,wrong,软件/服务/系统台账≠管理层安全义务。经 SA-9 的虚假传递。
NIST-CSF-2.0:ID.AM-02,"Inventories of software, services, and systems managed by the organization are maintained",ISO-27002-2022:A.7.9,带出场所的资产看护,NIST-800-53-R5:AC-20,wrong,资产台账≠带出场所的资产看护。AC-20 Use of External Systems 不能把盘点与场外看护焊在一起。
NIST-CSF-2.0:ID.RA-02,Cyber threat intelligence is received from information sharing forums and sources,ISO-27002-2022:A.5.6,专业圈子对接,"NIST-800-53-R5:PM-15,NIST-800-53-R5:SI-5",correct,从信息共享圈子接收威胁情报 ↔ 专业圈子对接。经 PM-15 与 SI-5，两端对齐，可作对照。
NIST-CSF-2.0:ID.RA-03,Internal and external threats to the organization are identified and recorded,ISO-27002-2022:A.5.6,专业圈子对接,NIST-800-53-R5:SI-5,wrong,识别并记录内外部威胁≠专业圈子对接。SI-5 只是情报来源之一；CSF 活动本身更贴 A.5.7。
NIST-CSF-2.0:ID.RA-10,Critical suppliers are assessed prior to acquisition,ISO-27002-2022:A.5.22,供方服务盯防与改动,NIST-800-53-R5:SR-6,partial,采购前评估关键供方 vs 服务期间盯防/改动，同属供方评估（SR-6）但时点不同。
NIST-CSF-2.0:PR.DS-01,"The confidentiality, integrity, and availability of data-at-rest are protected",ISO-27002-2022:A.8.21,网络通路服务约定,NIST-800-53-R5:CA-3,wrong,静态数据 CIA 保护≠网络通路服务约定。CA-3 Information Exchange 偏交换/互联，不能当静态数据证据。
NIST-CSF-2.0:PR.DS-11,"Backups of data are created, protected, maintained, and tested",ISO-27002-2022:A.5.33,记录保管,NIST-800-53-R5:CP-9,partial,备份可支撑记录可用性，但记录保管远宽于备份（留存、鉴定、法定）。更贴 A.8.13。
NIST-CSF-2.0:PR.IR-02,The organization's technology assets are protected from environmental threats,ISO-27002-2022:A.5.2,信息安全角色与职责,NIST-800-53-R5:CP-2,wrong,技术资产防环境威胁≠角色与职责。CSF 侧有 PE 环境类对照，却经 CP-2 误连到扇入极大的 A.5.2。
NIST-CSF-2.0:PR.PS-02,"Software is maintained, replaced, and removed commensurate with risk",ISO-27002-2022:A.8.32,改动审批与落地,NIST-800-53-R5:SI-2,partial,按风险维护/替换软件常走变更单，但漏洞修补≠变更审批流程。更贴 A.8.8。
NIST-CSF-2.0:PR.PS-02,"Software is maintained, replaced, and removed commensurate with risk",ISO-27002-2022:A.8.8,技术漏洞处置,NIST-800-53-R5:SI-2,correct,按风险维护、替换、移除软件 ↔ 技术漏洞处置。经 SI-2 Flaw Remediation，可作对照。
NIST-CSF-2.0:PR.PS-06,"Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle",ISO-27002-2022:A.8.30,外包开发,"NIST-800-53-R5:SA-10,NIST-800-53-R5:SA-11,NIST-800-53-R5:SA-15",partial,安全开发生命周期覆盖外包开发，但 A.8.30 仅外包；CSF 含内部研发。证据不完整。
NIST-CSF-2.0:RC.RP-04,Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms,ISO-27002-2022:A.5.37,书面操作规程,NIST-800-53-R5:IR-1,wrong,事件后运行常态≠书面操作规程。经 IR-1 Policy and Procedures 家族头，枢纽过宽。
NIST-CSF-2.0:RS.AN-06,"Actions performed during an investigation are recorded, and the records' integrity and provenance are preserved",ISO-27002-2022:A.5.26,安全事件处置,NIST-800-53-R5:IR-4,partial,调查动作记录与完整性保全更贴 A.5.28 证据收存，而非事件处置。同属 IR-4 域，活动不同。
NIST-CSF-2.0:RS.CO-03,Information is shared with designated internal and external stakeholders,ISO-27002-2022:A.6.8,安全事态上报,NIST-800-53-R5:IR-6,partial,向指定内外部干系人共享信息 vs 事态上报：都经 IR-6 Incident Reporting，但方向/受众不同。
NIST-CSF-2.0:RS.MA-05,The criteria for initiating incident recovery are applied,ISO-27002-2022:A.5.25,安全事态研判,NIST-800-53-R5:IR-4,wrong,启动事件恢复的准则≠事态研判。又是 IR-4 把响应链不同阶段焊在一起。
